symbol,name,lastsale,marketcap,ipoyear,sector,industry
ADMS,"Adamas Pharmaceuticals, Inc.",6.12,168500000.0,2014.0,Health Care,Major Pharmaceuticals
ADMP,Adamis Pharmaceuticals Corporation,0.975,46450000.0,,Health Care,Major Pharmaceuticals
ADAP,Adaptimmune Therapeutics plc,1.99,209200000.0,2015.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADPT,Adaptive Biotechnologies Corporation,39.76,4900000000.0,2019.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADUS,Addus HomeCare Corporation,81.44,1070000000.0000001,2009.0,Health Care,Medical/Nursing Services
AEY,"ADDvantage Technologies Group, Inc.",1.77,18340000.0,,Consumer Services,Office Equipment/Supplies/Services
IOTS,Adesto Technologies Corporation,10.07,299280000.0,2015.0,Technology,Semiconductors
ADIL,"Adial Pharmaceuticals, Inc",1.73,17690000.0,2018.0,Health Care,Major Pharmaceuticals
ADILW,"Adial Pharmaceuticals, Inc",0.33,,2018.0,Health Care,Major Pharmaceuticals
ADMA,ADMA Biologics Inc,3.48,206430000.0,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADBE,Adobe Inc.,297.78,144550000000.0,1986.0,Technology,Computer Software: Prepackaged Software
ADOM,"ADOMANI, Inc.",0.194,14140000.0,2017.0,Capital Goods,Auto Parts:O.E.M.
ADTN,"ADTRAN, Inc.",11.21,535940000.00000006,1994.0,Public Utilities,Telecommunications Equipment
ADRO,"Aduro Biotech, Inc.",1.38,110590000.0,2015.0,Health Care,Major Pharmaceuticals
ADES,"Advanced Emissions Solutions, Inc.",12.4,230370000.0,,Basic Industries,Major Chemicals
AEIS,"Advanced Energy Industries, Inc.",50.3,1930000000.0,1995.0,Capital Goods,Industrial Machinery/Components
AMD,"Advanced Micro Devices, Inc.",33.92,36820000000.0,,Technology,Semiconductors
ADXS,"Advaxis, Inc.",0.4788,8940000.0,,Health Care,Major Pharmaceuticals
ADVM,"Adverum Biotechnologies, Inc.",12.32,785780000.0,2014.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DWMC,AdvisorShares Dorsey Wright Micro-Cap ETF,22.2189,1110000.0,,,
DWSH,AdvisorShares Dorsey Wright Short ETF,26.7335,30080000.0,,,
BKCH,AdvisorShares Sabretooth ETF,27.0766,2710000.0,,,
ACT,AdvisorShares Vice ETF,24.49,13470000.0,,,
AEGN,Aegion Corp,19.58,604910000.0,,Basic Industries,Water Supply
AGLE,"Aeglea BioTherapeutics, Inc.",7.95,229340000.0,2016.0,Health Care,Major Pharmaceuticals
AEHR,Aehr Test Systems,1.39,31360000.0,1997.0,Capital Goods,Electrical Products
AMTX,"Aemetis, Inc",0.9681,19730000.0,,Basic Industries,Major Chemicals
AERI,"Aerie Pharmaceuticals, Inc.",22.92,1050000000.0,2013.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AVAV,"AeroVironment, Inc.",53.32,1280000000.0,2007.0,Capital Goods,Aerospace
ARPO,"Aerpio Pharmaceuticals, Inc.",0.69,28010000.0,,Health Care,Major Pharmaceuticals
AEZS,AEterna Zentaris Inc.,2.51,41270000.0,,Health Care,Major Pharmaceuticals
AEMD,"Aethlon Medical, Inc.",0.28,5350000.0,,Capital Goods,Biotechnology: Laboratory Analytical Instruments
GNMX,"Aevi Genomic Medicine, Inc.",0.203,13150000.0,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AFMD,Affimed N.V.,2.765,172620000.0,2014.0,Health Care,Major Pharmaceuticals
AFYA,Afya Limited,25.31,2220000000.0,2019.0,Consumer Services,Other Consumer Services
AGBA,AGBA Acquisition Limited,10.0,59750000.0,2019.0,Finance,Business Services
AGBAR,AGBA Acquisition Limited,0.225,,2019.0,Finance,Business Services
AGBAU,AGBA Acquisition Limited,10.02,59870000.0,2019.0,Finance,Business Services
AGBAW,AGBA Acquisition Limited,0.15,,2019.0,Finance,Business Services
AGEN,Agenus Inc.,2.605,349740000.0,2000.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGRX,"Agile Therapeutics, Inc.",1.09,48810000.0,2014.0,Health Care,Major Pharmaceuticals
AGYS,"Agilysys, Inc.",27.43,649420000.0,,Technology,EDP Services
AGIO,"Agios Pharmaceuticals, Inc.",42.71,2510000000.0,2013.0,Health Care,Major Pharmaceuticals
AGMH,AGM Group Holdings Inc.,16.12,343610000.0,2018.0,Technology,EDP Services
AGNC,AGNC Investment Corp.,17.17,9410000000.0,2008.0,Consumer Services,Real Estate Investment Trusts
AGNCB,AGNC Investment Corp.,25.55,8850000000.0,,Consumer Services,Real Estate Investment Trusts
AGNCM,AGNC Investment Corp.,25.591,,,Consumer Services,Real Estate Investment Trusts
AGNCN,AGNC Investment Corp.,25.99,,,Consumer Services,Real Estate Investment Trusts
AGFS,"AgroFresh Solutions, Inc.",1.51,77690000.0,2014.0,Finance,Business Services
AGFSW,"AgroFresh Solutions, Inc.",0.0116,,2014.0,Finance,Business Services
ALRN,"Aileron Therapeutics, Inc.",0.5197,13880000.0,2017.0,Health Care,Major Pharmaceuticals
AIMT,"Aimmune Therapeutics, Inc.",19.33,1210000000.0,2015.0,Health Care,Major Pharmaceuticals
AIRT,"Air T, Inc.",18.25,55420000.0,,Transportation,Air Freight/Delivery Services
AIRTP,"Air T, Inc.",2.4,,,Transportation,Air Freight/Delivery Services
AIRTW,"Air T, Inc.",0.06,,,Transportation,Air Freight/Delivery Services
ATSG,"Air Transport Services Group, Inc",20.941,1240000000.0,,Transportation,Air Freight/Delivery Services
AIRG,"Airgain, Inc.",11.22,112890000.0,2016.0,Technology,Radio And Television Broadcasting And Communications Equipment
ANTE,AirNet Technology Inc.,1.0,12570000.0,,Technology,Advertising
AKAM,"Akamai Technologies, Inc.",88.89,14490000000.0,1999.0,Miscellaneous,Business Services
AKTX,Akari Therapeutics Plc,1.85,30540000.0,,Health Care,Major Pharmaceuticals
AKCA,"Akcea Therapeutics, Inc.",21.99,2040000000.0,2017.0,Health Care,Major Pharmaceuticals
AKBA,"Akebia Therapeutics, Inc.",4.18,492670000.0,2014.0,Health Care,Major Pharmaceuticals
KERN,Akerna Corp.,9.65,71710000.0,2018.0,Technology,EDP Services
KERNW,Akerna Corp.,1.5,,2018.0,Technology,EDP Services
AKRO,"Akero Therapeutics, Inc.",27.1,732920000.0,2019.0,Health Care,Major Pharmaceuticals
AKER,Akers Biosciences Inc.,0.4299,5370000.0,2014.0,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
AKRX,"Akorn, Inc.",3.175,400500000.0,,Health Care,Major Pharmaceuticals
AKTS,"Akoustis Technologies, Inc.",5.6,168320000.0,,Public Utilities,Telecommunications Equipment
ALRM,"Alarm.com Holdings, Inc.",50.55,2440000000.0,2015.0,Technology,Computer Software: Prepackaged Software
ALSK,"Alaska Communications Systems Group, Inc.",1.82,97890000.0,1999.0,Public Utilities,Telecommunications Equipment
ALAC,Alberton Acquisition Corporation,10.141,148970000.0,2018.0,Finance,Business Services
ALACR,Alberton Acquisition Corporation,0.26,,2018.0,Finance,Business Services
ALACU,Alberton Acquisition Corporation,10.5,,2018.0,Finance,Business Services
ALACW,Alberton Acquisition Corporation,0.12,,2018.0,Finance,Business Services
ALBO,"Albireo Pharma, Inc.",24.95,300380000.0,,Health Care,Major Pharmaceuticals
ABDC,Alcentra Capital Corp.,8.24,106090000.0,,,
ALDR,"Alder BioPharmaceuticals, Inc.",9.99,834200000.0,2014.0,Health Care,Major Pharmaceuticals
ALDX,"Aldeyra Therapeutics, Inc.",5.41,148720000.0,2014.0,Health Care,Major Pharmaceuticals
ALEC,"Alector, Inc.",17.78,1220000000.0,2019.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALXN,"Alexion Pharmaceuticals, Inc.",112.11,25140000000.0,1996.0,Health Care,Major Pharmaceuticals
ALCO,"Alico, Inc.",30.8,230080000.0,,Consumer Non-Durables,Farming/Seeds/Milling
ALGN,"Align Technology, Inc.",188.29,15040000000.0,2001.0,Health Care,Industrial Specialties
ALIM,"Alimera Sciences, Inc.",0.56,39760000.0,2010.0,Health Care,Major Pharmaceuticals
ALYA,Alithya Group inc.,2.88,139680000.0,,Technology,"Computer Software: Programming, Data Processing"
ALJJ,"ALJ Regional Holdings, Inc.",1.515,63520000.0,,Miscellaneous,Business Services
ALKS,Alkermes plc,22.885,3600000000.0,1991.0,Health Care,Major Pharmaceuticals
ALLK,Allakos Inc.,83.8,3620000000.0,2018.0,Health Care,Major Pharmaceuticals
ABTX,"Allegiance Bancshares, Inc.",32.58,689340000.0,2015.0,Finance,Major Banks
ALGT,Allegiant Travel Company,148.74,2430000000.0,2006.0,Transportation,Air Freight/Delivery Services
ALGR,Allegro Merger Corp.,10.1,192510000.0,2018.0,Finance,Business Services
ALGRR,Allegro Merger Corp.,0.22,,2018.0,Finance,Business Services
ALGRU,Allegro Merger Corp.,10.55,,2018.0,Finance,Business Services
ALGRW,Allegro Merger Corp.,0.2899,,2018.0,Finance,Business Services
ALNA,"Allena Pharmaceuticals, Inc.",4.0,83260000.0,2017.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ARLP,"Alliance Resource Partners, L.P.",16.47,2109999999.9999998,1999.0,Energy,Coal Mining
LNT,Alliant Energy Corporation,51.32,12190000000.0,,Public Utilities,Power Generation
AHPI,"Allied Healthcare Products, Inc.",1.63,6540000.0,1992.0,Health Care,Industrial Specialties
AMOT,"Allied Motion Technologies, Inc.",36.0,345590000.0,,Capital Goods,Electrical Products
ALLO,"Allogene Therapeutics, Inc.",31.07,3780000000.0,2018.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALLT,Allot Ltd.,7.5,255280000.0,2006.0,Technology,Computer Communications Equipment
MDRX,"Allscripts Healthcare Solutions, Inc.",10.19,1700000000.0,,Technology,EDP Services
ALNY,"Alnylam Pharmaceuticals, Inc.",82.98,8840000000.0,2004.0,Health Care,Major Pharmaceuticals
AOSL,Alpha and Omega Semiconductor Limited,11.4,276930000.0,2010.0,Technology,Semiconductors
GOOG,Alphabet Inc.,1204.84,835430000000.0,2004.0,Technology,"Computer Software: Programming, Data Processing"
GOOGL,Alphabet Inc.,1206.03,836260000000.0,,Technology,"Computer Software: Programming, Data Processing"
SMCP,AlphaMark Actively Managed Small Cap ETF,22.31,21190000.0,,,
ATEC,"Alphatec Holdings, Inc.",5.8,347600000.0,2006.0,Health Care,Medical/Dental Instruments
ALPN,"Alpine Immune Sciences, Inc.",3.83,71130000.0,2015.0,Health Care,Major Pharmaceuticals
AMR,"Alta Mesa Resources, Inc.",0.1459,55570000.0,2017.0,Energy,Oil & Gas Production
AMRWW,"Alta Mesa Resources, Inc.",0.01,,2017.0,Energy,Oil & Gas Production
AABA,Altaba Inc.,69.93,36330000000.0,,Technology,EDP Services
ALTR,Altair Engineering Inc.,41.98,2990000000.0,2017.0,Technology,Computer Software: Prepackaged Software
ATHE,Alterity Therapeutics Limited,0.97,13920000.0,,Health Care,Major Pharmaceuticals
ALT,"Altimmune, Inc.",2.28,34970000.0,,Health Care,Major Pharmaceuticals
ASPS,Altisource Portfolio Solutions S.A.,18.83,301260000.0,,Consumer Services,Other Consumer Services
AIMC,Altra Industrial Motion Corp.,25.89,1670000000.0,2006.0,Capital Goods,Industrial Machinery/Components
ALTM,Altus Midstream Company,2.845,924420000.0,2017.0,Public Utilities,Natural Gas Distribution
AMAG,"AMAG Pharmaceuticals, Inc.",9.28,313360000.0,,Health Care,Major Pharmaceuticals
AMAL,Amalgamated Bank,16.22,515340000.00000006,2018.0,Consumer Non-Durables,Textiles
AMRN,Amarin Corporation plc,17.8086,6360000000.0,,Health Care,Major Pharmaceuticals
AMRK,"A-Mark Precious Metals, Inc.",13.91,97810000.0,,Basic Industries,Other Specialty Stores
AMZN,"Amazon.com, Inc.",1832.89,906650000000.0,1997.0,Consumer Services,Catalog/Specialty Distribution
AMBC,"Ambac Financial Group, Inc.",18.8,855790000.0,,Finance,Property-Casualty Insurers
AMBCW,"Ambac Financial Group, Inc.",8.1865,,,Finance,Property-Casualty Insurers
AMBA,"Ambarella, Inc.",46.78,1530000000.0,2012.0,Technology,Semiconductors
AMCX,AMC Networks Inc.,53.49,2980000000.0,,Consumer Services,Television Services
AMCI,AMCI Acquisition Corp.,9.98,275100000.0,2018.0,Finance,Business Services
AMCIU,AMCI Acquisition Corp.,10.17,,2018.0,Finance,Business Services
AMCIW,AMCI Acquisition Corp.,0.31,,2018.0,Finance,Business Services
DOX,Amdocs Limited,64.1,8790000000.0,,Technology,EDP Services
AMED,Amedisys Inc,136.04,4380000000.0,,Health Care,Medical/Nursing Services
AMTB,Amerant Bancorp Inc.,17.73,766020000.0,,Finance,Major Banks
AMTBB,Amerant Bancorp Inc.,14.485,625820000.0,,Finance,Major Banks
UHAL,Amerco,357.915,7020000000.0,,Consumer Services,Rental/Leasing Companies
AMRH,"Ameri Holdings, Inc.",0.2802,14100000.0,,Technology,Semiconductors
AMRHW,"Ameri Holdings, Inc.",0.04,,,Technology,Semiconductors
ATAX,"America First Multifamily Investors, L.P.",7.14,431440000.0,,Finance,Finance: Consumer Services
AMOV,"America Movil, S.A.B. de C.V.",14.1,46540000000.0,,Public Utilities,Telecommunications Equipment
AAL,"American Airlines Group, Inc.",29.08,12950000000.0,,Transportation,Air Freight/Delivery Services
AFIN,"American Finance Trust, Inc.",11.79,1250000000.0,,Consumer Services,Real Estate Investment Trusts
AFINP,"American Finance Trust, Inc.",25.4547,30550000.0,,Consumer Services,Real Estate Investment Trusts
AMNB,"American National Bankshares, Inc.",35.85,399480000.0,,Finance,Major Banks
ANAT,American National Insurance Company,118.23,3180000000.0,,Finance,Life Insurance
AOBC,American Outdoor Brands Corporation,8.59,470750000.0,,Capital Goods,Ordnance And Accessories
APEI,"American Public Education, Inc.",26.2,434560000.0,2007.0,Consumer Services,Other Consumer Services
AREC,American Resources Corporation,2.645,61670000.0,,Consumer Services,Other Consumer Services
AMRB,American River Bankshares,12.77,75190000.0,,Finance,Major Banks
AMSWA,"American Software, Inc.",13.53,424250000.0,,Technology,Computer Software: Prepackaged Software
AMSC,American Superconductor Corporation,8.56,185010000.0,1991.0,Consumer Durables,Metal Fabrications
AMWD,American Woodmark Corporation,83.845,1410000000.0,1986.0,Basic Industries,Forest Products
CRMT,"America&#39;s Car-Mart, Inc.",91.43,611090000.0,,Consumer Durables,Automotive Aftermarket
ABCB,Ameris Bancorp,37.91,2630000000.0,1994.0,Finance,Major Banks
AMSF,"AMERISAFE, Inc.",66.39,1280000000.0,2005.0,Finance,Property-Casualty Insurers
ASRV,AmeriServ Financial Inc.,4.11,71450000.0,,Finance,Major Banks
ASRVP,AmeriServ Financial Inc.,29.6,,,Finance,Major Banks
ATLO,Ames National Corporation,26.4,243730000.0,,Finance,Major Banks
AMGN,Amgen Inc.,185.23,111080000000.0,1983.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
FOLD,"Amicus Therapeutics, Inc.",11.38,2900000000.0,2007.0,Health Care,Major Pharmaceuticals
AMKR,"Amkor Technology, Inc.",9.03,2160000000.0,1998.0,Technology,Semiconductors
AMPH,"Amphastar Pharmaceuticals, Inc.",21.09,992610000.0,2014.0,Health Care,Major Pharmaceuticals
IBUY,Amplify Online Retail ETF,50.49,277700000.0,,,
ASYS,"Amtech Systems, Inc.",5.9,84020000.0,,Technology,Industrial Machinery/Components
AMRS,"Amyris, Inc.",3.64,375130000.0,2010.0,Basic Industries,Major Chemicals
ADI,"Analog Devices, Inc.",112.28,41520000000.0,,Technology,Semiconductors
ANAB,"AnaptysBio, Inc.",52.45,1420000000.0,2017.0,Health Care,Major Pharmaceuticals
AVXL,Anavex Life Sciences Corp.,2.5,126830000.0,,Health Care,Biotechnology: Commercial Physical & Biological Resarch
ANCN,Anchiano Therapeutics Ltd.,2.81,19170000.0,2019.0,Health Care,Major Pharmaceuticals
ANDA,Andina Acquisition Corp. III,9.85,136870000.0,2019.0,Finance,Business Services
ANDAR,Andina Acquisition Corp. III,0.28,,2019.0,Finance,Business Services
ANDAU,Andina Acquisition Corp. III,10.4,,2019.0,Finance,Business Services
ANDAW,Andina Acquisition Corp. III,0.21,,2019.0,Finance,Business Services
ANGI,ANGI Homeservices Inc.,9.41,4770000000.0,,Consumer Services,Advertising
ANGO,"AngioDynamics, Inc.",19.94,743300000.0,2004.0,Health Care,Medical/Dental Instruments
ANIP,"ANI Pharmaceuticals, Inc.",73.68,887680000.0,,Health Care,Major Pharmaceuticals
ANIK,Anika Therapeutics Inc.,56.57,779700000.0,,Health Care,Medical/Dental Instruments
ANIX,"Anixa Biosciences, Inc.",4.37,87820000.0,,Health Care,Medical Specialities
ANSS,"ANSYS, Inc.",211.41,17740000000.0,1996.0,Technology,Computer Software: Prepackaged Software
ATRS,"Antares Pharma, Inc.",3.32,539900000.0,,Health Care,Medical/Dental Instruments
ATEX,Anterix Inc.,45.1,669090000.0,2015.0,Public Utilities,Telecommunications Equipment
APLS,"Apellis Pharmaceuticals, Inc.",28.09,1790000000.0,2017.0,Health Care,Major Pharmaceuticals
APEX,Apex Global Brands Inc.,0.5,7970000.0,,Consumer Non-Durables,Apparel
APOG,"Apogee Enterprises, Inc.",38.61,1020000000.0,,Capital Goods,Auto Parts:O.E.M.
APEN,"Apollo Endosurgery, Inc.",3.01,66019999.99999999,,Health Care,Medical/Dental Instruments
AINV,Apollo Investment Corporation,16.32,1110000000.0,2004.0,,
AMEH,"Apollo Medical Holdings, Inc.",15.47,555370000.0,,Consumer Services,Professional Services
APPF,"AppFolio, Inc.",96.66,3290000000.0,2015.0,Technology,Computer Software: Prepackaged Software
APPN,Appian Corporation,43.2382,2800000000.0,2017.0,Technology,Computer Software: Prepackaged Software
AAPL,Apple Inc.,203.43,919340000000.0,1980.0,Technology,Computer Manufacturing
ARCI,"Appliance Recycling Centers of America, Inc.",3.69,6250000.0,,Consumer Services,Home Furnishings
APDN,Applied DNA Sciences Inc,0.2801,10610000.0,,Consumer Services,Other Consumer Services
APDNW,Applied DNA Sciences Inc,0.0101,,,Consumer Services,Other Consumer Services
AGTC,Applied Genetic Technologies Corporation,3.87,70320000.0,2014.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AMAT,"Applied Materials, Inc.",47.86,44800000000.0,1972.0,Technology,Semiconductors
AAOI,"Applied Optoelectronics, Inc.",10.9,217340000.0,2013.0,Technology,Semiconductors
APLT,"Applied Therapeutics, Inc.",8.6,146650000.0,2019.0,Health Care,Major Pharmaceuticals
AREX,Approach Resources Inc.,0.2351,22030000.0,2007.0,Energy,Oil & Gas Production
APVO,Aptevo Therapeutics Inc.,0.9883,44560000.0,,Health Care,Major Pharmaceuticals
APTX,Aptinyx Inc.,3.59,120850000.0,2018.0,Health Care,Major Pharmaceuticals
APM,Aptorum Group Limited,17.55,509570000.0,2018.0,Health Care,Major Pharmaceuticals
APTO,"Aptose Biosciences, Inc.",2.39,132520000.00000001,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
APYX,Apyx Medical Corporation,7.26,246250000.0,,Health Care,Medical/Dental Instruments
AQMS,"Aqua Metals, Inc.",1.66,94560000.0,2015.0,Basic Industries,Metal Fabrications
AQB,"AquaBounty Technologies, Inc.",3.11,67170000.0,,,
AQST,"Aquestive Therapeutics, Inc.",3.89,97150000.0,2018.0,Health Care,Major Pharmaceuticals
AQXP,"Aquinox Pharmaceuticals, Inc.",3.48,81910000.0,2014.0,Health Care,Major Pharmaceuticals
ARAV,"Aravive, Inc.",6.7163,75740000.0,2014.0,Health Care,Major Pharmaceuticals
ABUS,Arbutus Biopharma Corporation,1.65,93800000.0,,Health Care,Major Pharmaceuticals
ABIO,"ARCA biopharma, Inc.",6.24,9080000.0,,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
RKDA,"Arcadia Biosciences, Inc.",2.03,12720000.0,2015.0,Basic Industries,Agricultural Chemicals
ARCB,ArcBest Corporation,28.55,728400000.0,,Transportation,Trucking Freight/Courier Services
ACGL,Arch Capital Group Ltd.,39.45,15970000000.0,,Finance,Property-Casualty Insurers
ACGLO,Arch Capital Group Ltd.,25.3908,,,Finance,Property-Casualty Insurers
ACGLP,Arch Capital Group Ltd.,24.62,,,Finance,Property-Casualty Insurers
FUV,"Arcimoto, Inc.",2.89,47240000.0,2017.0,Consumer Non-Durables,Motor Vehicles
ARCE,Arco Platform Limited,50.0,1140000000.0,2018.0,Consumer Services,Other Consumer Services
ARCT,Arcturus Therapeutics Holdings Inc.,10.085,132300000.00000001,2013.0,Health Care,Major Pharmaceuticals
ARDX,"Ardelyx, Inc.",2.38,148990000.0,2014.0,Health Care,Major Pharmaceuticals
ARNA,"Arena Pharmaceuticals, Inc.",56.18,2780000000.0,2000.0,Health Care,Major Pharmaceuticals
ARCC,Ares Capital Corporation,18.62,7950000000.0,2004.0,,
ARGX,argenx SE,142.0,5410000000.0,2017.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ARDS,Aridis Pharmaceuticals Inc.,8.45,68510000.0,2018.0,Health Care,Major Pharmaceuticals
ARKR,Ark Restaurants Corp.,19.75,69100000.0,,Consumer Services,Restaurants
ARTX,Arotech Corporation,2.15,57330000.0,1994.0,Miscellaneous,Industrial Machinery/Components
ARQL,"ArQule, Inc.",9.25,1110000000.0,1996.0,Health Care,Major Pharmaceuticals
DWCR,Arrow DWA Country Rotation ETF,25.7111,14140000.0,,,
DWAT,Arrow DWA Tactical ETF,11.1,4440000.0,,,
AROW,Arrow Financial Corporation,32.55,472600000.0,,Finance,Major Banks
ARWR,"Arrowhead Pharmaceuticals, Inc.",29.15,2780000000.0,,Health Care,Major Pharmaceuticals
ARTL,"Artelo Biosciences, Inc.",2.94,10000000.0,,Miscellaneous,Business Services
ARTLW,"Artelo Biosciences, Inc.",0.73,,,Miscellaneous,Business Services
ARTNA,Artesian Resources Corporation,36.09,334720000.0,,Public Utilities,Water Supply
ARTW,"Art&#39;s-Way Manufacturing Co., Inc.",2.17,9310000.0,,Capital Goods,Industrial Machinery/Components
ARVN,"Arvinas, Inc.",24.7,832820000.0,2018.0,Health Care,Major Pharmaceuticals
ARYA,ARYA Sciences Acquisition Corp.,10.02,180050000.0,2018.0,Finance,Business Services
ARYAU,ARYA Sciences Acquisition Corp.,10.8,,2018.0,Finance,Business Services
ARYAW,ARYA Sciences Acquisition Corp.,1.42,,2018.0,Finance,Business Services
ASNA,"Ascena Retail Group, Inc.",0.3103,61380000.0,,Consumer Services,Clothing/Shoe/Accessory Stores
ASND,Ascendis Pharma A/S,115.365,5490000000.0,2015.0,Health Care,Major Pharmaceuticals
APWC,Asia Pacific Wire & Cable Corporation Limited,2.0515,28350000.0,,Basic Industries,Telecommunications Equipment
ASLN,ASLAN Pharmaceuticals Limited,3.05,97750000.0,2018.0,Health Care,Major Pharmaceuticals
ASML,ASML Holding N.V.,219.89,92610000000.0,1995.0,Technology,Industrial Machinery/Components
ASPU,Aspen Group Inc.,4.09,76270000.0,,Consumer Services,Other Consumer Services
